country,country_code,area_type,area,representative_city,latitude,longitude,date,temp_min,temp_max,precipitation_mm,precipitation_probability,weather_code,weather
Belgium,BE,Province,Liège Province,Liège,50.63373,5.56749,2026-08-26,17.5,25.5,0.0,22,3,Overcast
Belgium,BE,Province,Luxembourg Province,Arlon,49.68333,5.81667,2026-08-20,14.0,19.8,1.3,94,61,Light rain
Belgium,BE,Province,Luxembourg Province,Arlon,49.68333,5.81667,2026-08-21,11.3,19.1,4.1,75,63,Moderate rain
Belgium,BE,Province,Luxembourg Province,Arlon,49.68333,5.81667,2026-08-22,9.2,17.7,0.3,45,51,Light drizzle
Belgium,BE,Province,Luxembourg Province,Arlon,49.68333,5.81667,2026-08-23,9.3,20.0,0.0,0,3,Overcast
Belgium,BE,Province,Luxembourg Province,Arlon,49.68333,5.81667,2026-08-24,9.9,23.3,0.0,27,3,Overcast
Belgium,BE,Province,Luxembourg Province,Arlon,49.68333,5.81667,2026-08-25,14.8,26.3,6.3,63,80,Light rain showers
Belgium,BE,Province,Luxembourg Province,Arlon,49.68333,5.81667,2026-08-26,16.2,25.1,0.3,31,51,Light drizzle
Belgium,BE,Province,Namur Province,Namur,50.4669,4.86746,2026-08-20,15.0,20.9,1.3,88,53,Moderate drizzle
Belgium,BE,Province,Namur Province,Namur,50.4669,4.86746,2026-08-21,13.2,20.9,0.1,100,51,Light drizzle
Belgium,BE,Province,Namur Province,Namur,50.4669,4.86746,2026-08-22,12.1,19.6,1.1,59,55,Dense drizzle
Belgium,BE,Province,Namur Province,Namur,50.4669,4.86746,2026-08-23,9.3,18.6,0.0,2,3,Overcast
Belgium,BE,Province,Namur Province,Namur,50.4669,4.86746,2026-08-24,10.6,23.0,0.0,16,3,Overcast
Belgium,BE,Province,Namur Province,Namur,50.4669,4.86746,2026-08-25,14.6,26.2,5.7,45,55,Dense drizzle
Belgium,BE,Province,Namur Province,Namur,50.4669,4.86746,2026-08-26,17.2,25.5,0.0,21,3,Overcast
Belgium,BE,Province,Walloon Brabant Province,Wavre,50.71717,4.60138,2026-08-20,14.8,20.6,1.9,96,53,Moderate drizzle
Belgium,BE,Province,Walloon Brabant Province,Wavre,50.71717,4.60138,2026-08-21,13.4,18.2,9.1,100,63,Moderate rain
Belgium,BE,Province,Walloon Brabant Province,Wavre,50.71717,4.60138,2026-08-22,11.4,18.6,0.1,68,51,Light drizzle
Belgium,BE,Province,Walloon Brabant Province,Wavre,50.71717,4.60138,2026-08-23,9.8,18.5,0.0,10,3,Overcast
Belgium,BE,Province,Walloon Brabant Province,Wavre,50.71717,4.60138,2026-08-24,10.3,21.1,0.0,12,3,Overcast
Belgium,BE,Province,Walloon Brabant Province,Wavre,50.71717,4.60138,2026-08-25,13.6,27.5,3.6,43,51,Light drizzle
Belgium,BE,Province,Walloon Brabant Province,Wavre,50.71717,4.60138,2026-08-26,17.1,25.4,0.0,22,3,Overcast
Belgium,BE,Province,West Flanders Province,Bruges,51.20892,3.22424,2026-08-20,15.6,21.7,3.4,100,61,Light rain
Belgium,BE,Province,West Flanders Province,Bruges,51.20892,3.22424,2026-08-21,15.1,19.1,10.9,92,63,Moderate rain
Belgium,BE,Province,West Flanders Province,Bruges,51.20892,3.22424,2026-08-22,12.7,19.0,20.8,96,63,Moderate rain
Belgium,BE,Province,West Flanders Province,Bruges,51.20892,3.22424,2026-08-23,10.3,18.9,1.5,20,53,Moderate drizzle
Belgium,BE,Province,West Flanders Province,Bruges,51.20892,3.22424,2026-08-24,10.7,21.2,0.0,12,3,Overcast
Belgium,BE,Province,West Flanders Province,Bruges,51.20892,3.22424,2026-08-25,13.8,26.1,10.5,47,96,Thunderstorm with light hail
Belgium,BE,Province,West Flanders Province,Bruges,51.20892,3.22424,2026-08-26,16.8,24.8,0.0,34,3,Overcast
Moldova,MD,Raion,Anenii Noi Raion,Anenii Noi,46.87795,29.23503,2026-08-20,14.1,33.7,0.0,0,3,Overcast
Moldova,MD,Raion,Anenii Noi Raion,Anenii Noi,46.87795,29.23503,2026-08-21,19.8,34.4,0.0,0,0,Clear sky
Moldova,MD,Raion,Anenii Noi Raion,Anenii Noi,46.87795,29.23503,2026-08-22,16.3,33.7,0.0,0,1,Mainly clear
Moldova,MD,Raion,Anenii Noi Raion,Anenii Noi,46.87795,29.23503,2026-08-23,19.0,31.3,1.3,20,80,Light rain showers
Moldova,MD,Raion,Anenii Noi Raion,Anenii Noi,46.87795,29.23503,2026-08-24,17.0,24.9,0.0,10,3,Overcast
Moldova,MD,Raion,Anenii Noi Raion,Anenii Noi,46.87795,29.23503,2026-08-25,15.1,29.6,0.0,15,3,Overcast
Moldova,MD,Raion,Anenii Noi Raion,Anenii Noi,46.87795,29.23503,2026-08-26,17.2,28.7,0.0,30,3,Overcast
Moldova,MD,Raion,Basarabeasca Raion,Basarabeasca,46.33352,28.96165,2026-08-20,15.2,33.4,0.0,0,1,Mainly clear
Moldova,MD,Raion,Basarabeasca Raion,Basarabeasca,46.33352,28.96165,2026-08-21,19.5,33.2,0.0,0,0,Clear sky
Moldova,MD,Raion,Basarabeasca Raion,Basarabeasca,46.33352,28.96165,2026-08-22,15.8,32.9,0.0,0,1,Mainly clear
Moldova,MD,Raion,Basarabeasca Raion,Basarabeasca,46.33352,28.96165,2026-08-23,19.5,31.6,0.7,20,80,Light rain showers
Moldova,MD,Raion,Basarabeasca Raion,Basarabeasca,46.33352,28.96165,2026-08-24,17.0,22.0,4.8,20,61,Light rain
Moldova,MD,Raion,Basarabeasca Raion,Basarabeasca,46.33352,28.96165,2026-08-25,14.6,29.5,0.0,8,2,Partly cloudy
Moldova,MD,Raion,Basarabeasca Raion,Basarabeasca,46.33352,28.96165,2026-08-26,17.2,27.8,0.0,33,3,Overcast
Moldova,MD,Raion,Briceni Raion,Briceni,48.36302,27.07847,2026-08-20,14.3,31.0,0.0,0,3,Overcast
Moldova,MD,Raion,Briceni Raion,Briceni,48.36302,27.07847,2026-08-21,19.7,35.3,0.0,0,2,Partly cloudy
Moldova,MD,Raion,Briceni Raion,Briceni,48.36302,27.07847,2026-08-22,18.6,32.9,0.0,38,3,Overcast
Moldova,MD,Raion,Briceni Raion,Briceni,48.36302,27.07847,2026-08-23,17.5,24.8,0.0,13,3,Overcast
Moldova,MD,Raion,Briceni Raion,Briceni,48.36302,27.07847,2026-08-24,15.4,23.1,0.0,15,3,Overcast
